site_type,site_id,name,lat,lon,ports_2026,ports_scaled,annual_kwh,peak_kw,kwh_per_port_day
public_l2,afdc_114957,La Tourelle Hotel & Spa - Tesla Destination,42.402,-76.503,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_114959,William Henry Miller Inn - Tesla Destination,42.442,-76.495,1.0,6.282,15952.242,10.907,6.957
public_l2,afdc_117739,Maguire Chevrolet,42.481,-76.478,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_123135,Allan H. Treman State Park,42.458,-76.52,4.0,25.129,63808.97,43.63,6.957
public_l2,afdc_123137,Cayuga Heights,42.469,-76.479,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_162227,NORTH WOOD STATION 1,42.487,-76.471,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_162263,ITHACA VISITORS COLLEGE CIRCLE,42.412,-76.501,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_162290,HOLT1 HOLT,42.439,-76.51,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_162296,CITY OF ITHACA DRYDEN,42.442,-76.486,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_162304,INHS 210 HANCOCK,42.448,-76.503,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_162307,CITY OF ITHACA SENECA STREET,42.44,-76.496,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_162315,ITHACA VISITORS ITHACA COLLEGE,42.421,-76.5,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_162323,CAYUGA STATION ALL PRO GARAGE,42.437,-76.499,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_162327,ULYSSES TOWN ULYSSES,42.541,-76.661,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_164859,DRYDEN STATION 1,42.492,-76.287,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_165558,CCE TOMPKINS STATION ONE,42.451,-76.503,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_182683,SCIENCENTER SCIENCENTER,42.45,-76.504,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_186535,CAYUGA MED CTR. CAYUGA MEDICAL,42.469,-76.538,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_191606,THE MEADOWS STATION 01,42.484,-76.482,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_226519,BJ'S Wholesale Shopping Club,42.486,-76.493,2.0,12.564,31904.485,21.815,6.957
public_l2,afdc_226520,The Dorm Hotel,42.444,-76.49,1.0,6.282,15952.242,10.907,6.957
public_l2,afdc_226521,Maguire Honda of Ithaca,42.426,-76.509,1.0,6.282,15952.242,10.907,6.957
